station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
-5.0, 100.0, None, None, -5.0, -1.0, 1987-03-19 06:00:00, None, None, None
-2.0, 98.0, None, None, -5.0, -2.0, 1987-03-19 18:00:00, None, None, None
-6.0, 72.0, None, None, -6.0, -2.0, 1987-03-20 06:00:00, None, None, None
-1.0, 100.0, None, None, -10.0, -1.0, 1987-03-20 18:00:00, None, None, None
-13.0, 70.0, None, None, -13.0, -1.0, 1987-03-21 06:00:00, None, None, None
1.0, 100.0, None, None, -13.0, 1.0, 1987-03-21 18:00:00, None, None, None
-7.0, 64.0, None, None, -8.0, 1.0, 1987-03-22 06:00:00, None, None, None
2.0, 98.0, None, None, -9.0, 3.0, 1987-03-22 18:00:00, None, None, None
-11.0, 60.0, None, None, -11.0, 2.0, 1987-03-23 06:00:00, None, None, None
1.0, 99.0, None, None, -12.0, 4.0, 1987-03-23 18:00:00, None, None, None
-6.5, 61.0, None, None, -6.5, 1.0, 1987-03-24 06:00:00, None, None, None
3.0, 98.0, None, None, -7.0, 5.0, 1987-03-24 18:00:00, None, None, None
-3.0, 79.0, None, None, -7.0, 3.0, 1987-03-25 06:00:00, None, None, None
-1.0, 100.0, None, None, -3.0, 1.0, 1987-03-25 18:00:00, None, None, None
-6.0, 96.0, None, None, -6.0, -1.0, 1987-03-26 06:00:00, None, None, None
-4.0, 100.0, None, None, -6.0, -2.5, 1987-03-26 18:00:00, None, None, None
-6.0, 80.0, None, None, -7.0, -4.0, 1987-03-27 06:00:00, None, None, None
-4.0, 85.0, None, None, -6.0, -1.5, 1987-03-27 18:00:00, None, None, None
-17.0, 39.0, None, None, -17.0, -4.0, 1987-03-28 06:00:00, None, None, None
-2.0, 91.0, None, None, -18.5, -2.0, 1987-03-28 18:00:00, None, None, None
-13.0, 42.0, None, None, -13.0, -2.0, 1987-03-29 06:00:00, None, None, None
1.0, 46.0, None, 14.0, -18.5, 6.5, 1987-03-29 09:15:00, None, None, 92.0
0.0, 95.0, None, None, 0.0, 7.0, 1987-03-29 18:00:00, None, None, None
-6.0, 50.0, None, None, -8.0, 0.0, 1987-03-30 06:00:00, None, None, None
3.0, 90.0, None, None, -6.0, 10.0, 1987-03-30 18:00:00, None, None, None
0.0, 45.0, None, None, -2.0, 3.0, 1987-03-31 06:00:00, None, None, None
2.0, 90.0, None, None, 0.0, 11.0, 1987-03-31 18:00:00, None, None, None
-5.0, 38.0, None, None, -5.0, 2.0, 1987-04-01 06:00:00, None, None, None
8.0, 90.0, None, None, -5.0, 14.0, 1987-04-01 18:00:00, None, None, None
0.0, 40.0, None, None, -0.5, 8.0, 1987-04-02 06:00:00, None, None, None
5.0, 96.0, None, None, 0.0, 15.0, 1987-04-02 18:00:00, None, None, None
-2.0, 55.0, None, None, -2.0, 5.0, 1987-04-03 06:00:00, None, None, None
4.0, 100.0, None, None, -2.0, 13.0, 1987-04-03 18:00:00, None, None, None
1.0, 80.0, None, None, 1.0, 4.0, 1987-04-04 06:00:00, None, None, None
3.0, 100.0, None, None, 1.0, 7.0, 1987-04-04 18:00:00, None, None, None
-1.0, 59.0, None, None, -1.0, 3.0, 1987-04-05 06:00:00, None, None, None
2.0, 100.0, None, None, -1.0, 7.0, 1987-04-05 18:00:00, None, None, None
-0.5, 68.0, None, None, -0.5, 2.0, 1987-04-06 06:00:00, None, None, None
4.0, 81.0, None, None, -1.0, 6.5, 1987-04-06 18:00:00, None, None, None
-2.0, 60.0, None, None, -2.0, 4.0, 1987-04-07 06:00:00, None, None, None
3.5, 100.0, None, None, -4.0, 5.0, 1987-04-07 18:00:00, None, None, None
-4.0, 75.0, None, None, -4.0, 3.5, 1987-04-08 06:00:00, None, None, None
0.0, 98.0, None, None, -4.0, 2.0, 1987-04-08 18:00:00, None, None, None
-5.5, 66.0, None, None, -5.5, 0.0, 1987-04-09 06:00:00, None, None, None
4.0, 88.0, None, None, -5.5, 4.0, 1987-04-09 18:00:00, None, None, None
